,name,latitude,longitude,line
115,Harrow & Wealdstone,51.59205973,-0.334725352,Bakerloo
116,Harrow-on-the-Hill,51.579335,-0.337052,Metropolitan
117,Hatton Cross,51.466988,-0.423035,Piccadilly
118,Heathrow Terminals 1-2-3,51.4712899,-0.4527438,Piccadilly
119,Heathrow Terminal 4,51.4594777,-0.44689658,Piccadilly
120,Hendon Central,51.58346,-0.22653,Northern
121,High Barnet,51.6506519031751,-0.194138165994553,Northern
122,High Street Kensington,51.5003459144,-0.1923516640,"Circle, District"
123,Highbury & Islington,51.54502,-0.10752,"London Overground, Victoria, Northern City"
124,Highgate,51.57722,-0.14553,Northern
125,Hillingdon,51.55364,-0.45062,"Metropolitan, Piccadilly"
126,Holborn,51.51711,-0.12055,"Central, Piccadilly"
127,Holland Park,51.50722,-0.20553,Central
128,Holloway Road,51.55290,-0.11278,Piccadilly
129,Homerton,51.54710,-0.04323,
130,Hornchurch,51.55387,+0.21797,District
131,Hounslow Central,51.471290,-0.365853,Piccadilly
132,Hounslow East,51.473540,-0.356000,Piccadilly
133,Hounslow West,51.473689,-0.386471,Piccadilly
134,Hyde Park Corner,51.50313,-0.15278,Piccadilly
135,Ickenham,51.56147,-0.44257,"Metropolitan, Piccadilly"
136,Kennington,51.48823,-0.10587,Northern
137,Kensal Green,51.53060655,-0.224253545,Bakerloo
138,Kensal Rise,51.53387,-0.22145,London Overground
139,Kensington (Olympia),51.49675,-0.20931,District
140,Kentish Town,51.55046,-0.14067,Northern
141,Kentish Town West,51.54776,-0.14708,London Overground
142,Kenton,51.58173809,-0.316870809,Bakerloo
143,Kew Gardens,51.47725641,-0.284980014,District
144,Kilburn,51.5471715,-0.2050020,Jubilee
145,Kilburn Park,51.53495818,-0.193963023,Bakerloo
146,King's Cross St.Pancras,51.53057,-0.12399,"Piccadilly, Circle, Victoria, Northern, Metropolitan, Hammersmith & City"
147,King's Cross Thameslink,51.53080,-0.12044,Thameslink
148,Kingsbury,51.58422,-0.27880,Jubilee
149,Knightsbridge,51.50169,-0.16030,Piccadilly
150,Ladbroke Grove,51.517300,-0.211140,Hammersmith & City
151,Lambeth North,51.49894,-0.11216,Bakerloo
152,Lancaster Gate,51.512083,-0.175067,Central
153,Latimer Road,51.513125,-0.218428,Hammersmith & City
154,Leicester Square,51.51148,-0.12849,"Northern, Piccadilly"
155,Leyton,51.556483,-0.005669,Central
156,Leytonstone,51.56828,0.00739,Central
157,Liverpool Street,51.517675,-0.0824580,Central
158,London Bridge,51.505353,-0.084826,"Jubilee, Northern"
159,Loughton,51.64170,+0.05583,Central
160,Maida Vale,51.52989409,-0.185888819,Bakerloo
161,Manor House,51.57038,-0.09601,Piccadilly
162,Mansion House,51.51256,-0.09397,"Circle, District"
163,Marble Arch,51.5135970,-0.15869195,Central
164,Marylebone,51.522660,-0.162996,Bakerloo
165,Mile End,51.525306,-0.033471,"Central, District, Hammersmith & City"
166,Mill Hill East,51.60892,-0.20965,Northern
167,Monument,51.510165,-0.085991,"Circle, District"
168,Moor Park,51.62970512,-0.432070848,Metropolitan
169,Moorgate,51.51817,-0.08859,"Northern, Circle, Hammersmith & City, Metropolitan, Northern City, Thameslink"
170,Morden,51.40222413,-0.194599126,Northern
171,Mornington Crescent,51.53427,-0.13901,Northern
172,Neasden,51.55427,-0.25042,Jubilee
173,New Cross,51.477363,-0.0338817,East London
174,New Cross Gate,51.47585,-0.04049,East London
175,Newbury Park,51.57565,+0.08927,Central
176,Nine Elms,51.480000,-0.128460,Northern
177,North Acton,51.52370,-0.26019,Central
178,North Ealing,51.51807,-0.28838,Piccadilly
179,North Greenwich,51.50056,+0.00360,Jubilee
180,North Harrow,51.58503612,-0.362595264,Metropolitan
181,North Wembley,51.56258091,-0.304072648,Bakerloo
182,Northfields,51.499856,-0.313188,Piccadilly
183,Northolt,51.548054,-0.368257,Central
184,Northolt,51.548467,-0.36968,Central
185,Northwick Park,51.57850117,-0.317857023,Metropolitan
186,Northwood,51.61098984,-0.423584422,Metropolitan
187,Northwood Hills,51.60043795,-0.408812575,Metropolitan
188,Notting Hill Gate,51.509028,-0.1962847,"Central, Circle, District"
189,Oakwood,51.64739,-0.13192,Piccadilly
190,Old Street,51.52618,-0.08751,"Northern, Northern City"
191,Osterley,51.481569,-0.351960,Piccadilly
192,Oval,51.48214,-0.11284,Northern
193,Oxford Circus,51.51517,-0.14119,"Bakerloo, Central, Victoria"
194,Paddington,51.5151846554,-0.17553880792,"Circle, District"
195,Paddington (H&C Line),51.519096707,-0.176968859,Hammersmith and City
196,Park Royal,51.52671,-0.28417,Piccadilly
197,Parsons Green,51.47488,-0.20205,District
198,Perivale,51.536673,-0.32391,Central
199,Piccadilly Circus,51.51022,-0.13392,"Piccadilly, Bakerloo"
200,Pimlico,51.489081,-0.133037,Victoria
201,Pinner,51.59270271,-0.380539158,Metropolitan
202,Plaistow,51.53122,0.01659,"District, Hammersmith & City"
203,Preston Road,51.57229051,-0.295813875,Metropolitan
204,Putney Bridge,51.46868,-0.2088141,District
205,Queen's Park,51.534179,-0.205257721,Bakerloo
206,Queensbury,51.59437,-0.28655,Jubilee
207,Queensway,51.510484,-0.187050,Central
208,Ravenscourt Park,51.494190,-0.235600,District
209,Rayners Lane,51.57534,-0.37240,"Metropolitan, Piccadilly"
210,Redbridge,51.57618,0.04542,Central
