,fsq_id,popularity,price,rating
0,527c07e711d255a8e45a3856,0.954859962445427,2.0,7.6
1,4db89f1dcda10f31e61b8ac9,0.8802819854534272,1.0,6.6
2,55d77b39498e56569779feb2,0.8937336048196588,1.0,
3,4bf462f12d629521a21d6058,0.878483466203214,1.0,
4,4bd5ff6c6f649521f71970ec,0.8761071842923106,1.0,5.9
5,4bcdda36fb84c9b60eae223e,0.9883003061210226,1.0,5.6
6,4c4f432ceaa1be9a7a26a645,0.9175546661323916,1.0,
7,539db859498eb12d43cf35e8,0.9871913745626011,2.0,8.8
8,4bfadb48d0382d7febe2c80a,0.9567050754585991,1.0,7.4
9,4c9ca3fc7c096dcb7229c3d1,0.9611338126278416,1.0,8.0
10,4acf9957f964a520d7d420e3,0.9769640435931246,1.0,7.2
11,5cdd51073d4791002e65b8bb,0.9814696604712493,1.0,7.7
12,4b3dfea1f964a520b89725e3,0.9939195139338648,1.0,7.2
13,4b47ab8cf964a520e23926e3,0.9925007338517666,1.0,7.2
14,4c87ac36821e9eb0ffcd8d89,0.989169279800206,1.0,6.9
15,4ae19ccbf964a520688621e3,0.9939661076968237,1.0,6.8
16,4de90673e4cd15735404e49b,0.7964947512126027,1.0,6.1
17,4b5f3343f964a520d8ac29e3,0.8600346657596414,1.0,6.0
18,4b6c61e3f964a52071352ce3,0.9145516981096911,1.0,6.1
19,4bc35a8f2a89ef3bb7e4f488,0.9586480353739848,1.0,6.3
20,4bb0ed77f964a520f96a3ce3,0.43264871564292406,1.0,6.0
21,4b7d83dff964a520b0c32fe3,0.9451498222447943,1.0,6.3
22,4bfd4dc88992a5930ee5abb0,0.9670395720828809,2.0,6.2
23,4ad85419f964a520091121e3,0.9346196318160851,1.0,5.8
24,4c7fbe28fb74236a7af2fab9,0.1060753607522097,1.0,
25,4b5f4402f964a520e3b029e3,0.9042451577431845,1.0,5.9
26,504a2397e4b0a5cade49ae45,0.9187894008508021,1.0,6.1
27,4bc498a6920eb7139df11e2c,0.8463803635245386,1.0,
28,4b6993d6f964a52014a82be3,0.9234487771466912,1.0,5.9
