,fsq_id,categories,geocodes,location,name
10,4acf9957f964a520d7d420e3,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]","{'main': {'latitude': 51.515769, 'longitude': -0.075651}, 'roof': {'latitude': 51.515769, 'longitude': -0.075651}}","{'address': '50 Middlesex St', 'admin_region': 'England', 'country': 'GB', 'cross_street': 'at new Goulston St', 'formatted_address': '50 Middlesex St (at new Goulston St), London, Greater London, E1 7EX', 'locality': 'London', 'neighborhood': ['Whitechapel'], 'post_town': 'London', 'postcode': 'E1 7EX', 'region': 'Greater London'}",The Bell
11,5cdd51073d4791002e65b8bb,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'main': {'latitude': 51.517236, 'longitude': -0.070382}}","{'address': '42 Osborn St', 'admin_region': 'England', 'country': 'GB', 'cross_street': '', 'formatted_address': '42 Osborn St, London, Greater London, E1 6TD', 'locality': 'London', 'neighborhood': ['Spitalfields and Banglatown'], 'post_town': 'London', 'postcode': 'E1 6TD', 'region': 'Greater London'}",The Buxton
12,4b3dfea1f964a520b89725e3,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'main': {'latitude': 51.510836, 'longitude': -0.074717}, 'roof': {'latitude': 51.510836, 'longitude': -0.074717}}","{'address': '64-73 Minories', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '64-73 Minories, London, Greater London, EC3N 1JL', 'locality': 'London', 'neighborhood': ['The City'], 'post_town': 'London', 'postcode': 'EC3N 1JL', 'region': 'Greater London'}",The Minories
13,4b47ab8cf964a520e23926e3,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]","{'main': {'latitude': 51.514881, 'longitude': -0.06905}, 'roof': {'latitude': 51.514881, 'longitude': -0.06905}}","{'address': '44 Commercial Rd', 'admin_region': 'England', 'country': 'GB', 'cross_street': '', 'formatted_address': '44 Commercial Rd, London, Greater London, E1 1LN', 'locality': 'London', 'neighborhood': ['Aldgate'], 'post_town': 'London', 'postcode': 'E1 1LN', 'region': 'Greater London'}",The Castle
14,4c87ac36821e9eb0ffcd8d89,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'main': {'latitude': 51.511573, 'longitude': -0.072804}, 'roof': {'latitude': 51.511573, 'longitude': -0.072804}}","{'address': '87-91 Mansell St', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '87-91 Mansell St, Tower Hamlets, Greater London, E1 8AN', 'locality': 'London', 'neighborhood': ['Whitechapel'], 'post_town': 'London', 'postcode': 'E1 8AN', 'region': 'Greater London'}",Goodmans Field
15,4ae19ccbf964a520688621e3,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]","{'main': {'latitude': 51.515771, 'longitude': -0.070889}, 'roof': {'latitude': 51.515771, 'longitude': -0.070889}}","{'address': '89 Whitechapel High St', 'admin_region': 'England', 'country': 'GB', 'cross_street': '', 'formatted_address': '89 Whitechapel High St, London, Greater London, E1 7RA', 'locality': 'London', 'neighborhood': ['Whitechapel'], 'post_town': 'London', 'postcode': 'E1 7RA', 'region': 'Greater London'}",The White Hart
16,4de90673e4cd15735404e49b,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'main': {'latitude': 51.513347, 'longitude': -0.076577}, 'roof': {'latitude': 51.513347, 'longitude': -0.076577}}","{'address': '36 Jewry St', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '36 Jewry St, London, Greater London, EC3N 2ET', 'locality': 'London', 'neighborhood': ['The City'], 'post_town': 'London', 'postcode': 'EC3N 2ET', 'region': 'Greater London'}",Hennessy's
17,4b5f3343f964a520d8ac29e3,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'main': {'latitude': 51.513682, 'longitude': -0.073992}, 'roof': {'latitude': 51.513682, 'longitude': -0.073992}}","{'address': 'Little Somerset St 1', 'admin_region': 'England', 'country': 'GB', 'cross_street': '', 'formatted_address': 'Little Somerset St 1, London, Greater London, E1 8AH', 'locality': 'London', 'neighborhood': ['Aldgate'], 'post_town': 'London', 'postcode': 'E1 8AH', 'region': 'Greater London'}",Still & Star
18,4b6c61e3f964a52071352ce3,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]","{'main': {'latitude': 51.512432, 'longitude': -0.075303}, 'roof': {'latitude': 51.512432, 'longitude': -0.075303}}","{'address': '27 Minories', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '27 Minories, London, Greater London, EC3N 1DE', 'locality': 'London', 'neighborhood': ['The City'], 'post_town': 'London', 'postcode': 'EC3N 1DE', 'region': 'Greater London'}",The Three Lords
19,4bc35a8f2a89ef3bb7e4f488,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'main': {'latitude': 51.513533, 'longitude': -0.071336}, 'roof': {'latitude': 51.513533, 'longitude': -0.071336}}","{'address': '21 Alie St', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '21 Alie St, London, Greater London, E1 8DA', 'locality': 'London', 'neighborhood': ['Whitechapel'], 'post_town': 'London', 'postcode': 'E1 8DA', 'region': 'Greater London'}",The White Swan
