,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police,metro,police
821,Duke of Battersea,SW11 3AG,London Borough of Wandsworth,51.478247,-0.170071,1.0,8.3,0.9702060295658248,85,0,1.0,1733.6156928963928,129.5127205523499,0,1
822,The Bolingbroke,SW11 6RE,London Borough of Wandsworth,51.453835,-0.164076,1.0,7.9,0.9606285647770924,25,0,0.0,1148.7562459058925,1196.4527853131888,0,0
823,The Nightingale,SW12 8NX,London Borough of Wandsworth,51.450067,-0.157853,1.0,8.1,0.9337446164590852,30,0,0.0,780.595229701323,1641.8498104676412,0,0
824,The Cat's Back,SW18 1NN,London Borough of Wandsworth,51.46185,-0.199752,1.0,7.3,0.9351274589686882,32,0,0.0,849.4862441421005,512.7267900642082,0,0
825,Park Tavern,SW18 5SW,London Borough of Wandsworth,51.450724,-0.19917,1.0,7.3,0.9771993947153998,32,0,0.0,818.0125431110409,733.685989812656,0,0
826,The Halfway House,SW18 4SR,London Borough of Wandsworth,51.441647,-0.187286,1.0,7.5,0.9732115004074032,59,0,1.0,1165.983548389751,468.5508159339748,0,1
827,The Old Fields,SW18 5LS,London Borough of Wandsworth,51.444744,-0.205146,1.0,7.4,0.8581678500756605,38,1,0.0,94.06777730095963,1230.8583163049277,1,0
828,The Jolly Gardeners,SW15 1NT,London Borough of Wandsworth,51.464546,-0.218343,2.0,7.5,0.9466604586194856,162,0,1.0,792.0874978039162,361.4291382598223,0,1
829,The County Arms,SW18 3SH,London Borough of Wandsworth,51.450108,-0.174294,1.0,7.4,0.947428704458154,49,0,0.0,1654.7965764851283,1095.1412620174306,0,0
830,The Fox & Hounds,SW11 2JU,London Borough of Wandsworth,51.467047,-0.162836,1.0,7.6,0.9654917937376324,114,0,1.0,1824.1814844481132,277.54913311566025,0,1
831,Old Sergeant,SW18 4DJ,London Borough of Wandsworth,51.451458,-0.190492,1.0,7.0,0.9574717727854732,141,0,0.0,1323.0823321410908,794.5926990340349,0,0
832,The Coat & Badge,SW15 1NL,London Borough of Wandsworth,51.464515,-0.216715,2.0,7.4,0.9515027354207892,167,0,1.0,716.9591343784816,249.08719312528743,0,1
833,Ye Olde Spotted Horse,SW15 1RG,London Borough of Wandsworth,51.462631,-0.216483,1.0,7.3,0.9805750203701548,166,0,3.0,546.6195567138321,288.79898795949845,0,1
834,Green Man,SW15 3NG,London Borough of Wandsworth,51.453456,-0.221579,1.0,7.3,0.9678314515190316,48,0,0.0,951.5428221797494,1329.1926891885566,0,0
835,The Telegraph,SW15 3TU,London Borough of Wandsworth,51.448726,-0.226545,1.0,7.4,0.9609149109533232,17,0,0.0,1453.7565369425083,1954.3886941633764,0,0
836,The Boathouse,SW15 2JX,London Borough of Wandsworth,51.465186,-0.212831,1.0,6.9,0.9738493772552672,96,1,3.0,477.8802635609787,112.3618283328626,1,1
837,The Latchmere,SW11 3BW,London Borough of Wandsworth,51.47201,-0.165499,1.0,7.1,0.9671167500873008,106,0,0.0,1828.2039423734036,634.0617284932085,0,0
838,Wandle Earlsfield,SW18 4EJ,London Borough of Wandsworth,51.442856,-0.189207,1.0,6.8,0.9786776859504132,51,0,0.0,1190.393493116498,621.6798823441161,0,0
839,The Malt House,SW6 1AY,London Borough of Hammersmith & Fulham,51.481456,-0.198398,1.0,7.0,0.8525107670818298,174,1,1.0,273.9108885843166,244.01435626039225,1,1
840,The Eel Brook,SW6 4SG,London Borough of Hammersmith & Fulham,51.47585,-0.193283,1.0,6.8,0.6945384704923757,85,0,0.0,510.2836157861269,614.2276017326367,0,0
841,The Spread Eagle,SW18 2PT,London Borough of Wandsworth,51.456578,-0.192148,1.0,6.1,0.8918519380747294,158,0,1.0,1343.3311335855888,445.8921995414176,0,1
842,The Crown - Enterprise Inns,SW11 5RD,London Borough of Wandsworth,51.465665,-0.156006,1.0,6.9,0.9533861017343732,129,0,1.0,1326.9721365327323,440.7499352522244,0,1
843,Le Gothique,SW18 3SX,London Borough of Wandsworth,51.453336,-0.174716,1.0,6.4,0.95776277499709,33,0,0.0,1867.2423443200112,831.0266772018144,0,0
