,fsq_id,name,address,locality,neighborhood,postcode,category,latitude,longitude,popularity,price,rating,distance_metro,distance_police,number_of_crimes
0,527c07e711d255a8e45a3856,The Aeronaut,264 Acton High St,Acton,Acton,W3 9BH,Pub,51.508508,-0.275519,0.954859962445427,2.0,7.6,691.9981564746762,39.28639842478434,145
1,4db89f1dcda10f31e61b8ac9,The Talbot Inn,1 Mill Hill Rd,Greater London,Acton,W3 8JB,Pub,51.506495,-0.273439,0.8802819854534272,1.0,6.6,550.0670177617252,249.86969860242942,162
2,55d77b39498e56569779feb2,The Sheepwalk Tavern,14 Market Pl,London,Acton,W3 6QS,Pub,51.507626,-0.271289,0.8937336048196588,1.0,,586.9798677915039,272.98136285657847,174
3,4bf462f12d629521a21d6058,Duke of York,86 Steyne Rd,Acton,Acton,W3 9NU,Night Club,51.509316,-0.27219,0.878483466203214,1.0,,635.9645688608549,210.01538151750643,156
4,4bd5ff6c6f649521f71970ec,The Belvedere,108-112 High St,London,Acton,W3 6QX,Pub,51.506873,-0.268905,0.8761071842923106,1.0,5.9,457.2700811927922,457.55714679978576,180
5,4bcdda36fb84c9b60eae223e,The Red Lion & Pineapple,281 High St,Acton,Acton,W3 9BP,Pub,51.50824,-0.276597,0.9883003061210226,1.0,5.6,646.9734276179787,118.4118411607656,142
6,4c4f432ceaa1be9a7a26a645,Mill Hill Hotel,61 Gunnersbury Lane,Acton,Acton,W3 8ED,Pub,51.505603,-0.27856,0.9175546661323916,1.0,,346.343466372952,410.62353394465265,119
7,539db859498eb12d43cf35e8,The Culpeper,40 Commercial St,London,Aldgate,E1 6LP,Pub,51.516814,-0.072909,0.9871913745626012,2.0,8.8,201.8698916556596,180.5547491918496,312
8,4bfadb48d0382d7febe2c80a,Duke of Somerset,15 Little Somerset St,Aldgate,Aldgate,E1 8AH,Arts and Entertainment,51.513626,-0.074026,0.9567050754585992,1.0,7.4,99.34221219779297,533.1279242453646,245
9,4c9ca3fc7c096dcb7229c3d1,Williams Wine & Ale House,22 Artillery Lane,London,Spitalfields,E1 7LS,Pub,51.518352,-0.078291,0.9611338126278416,1.0,8.0,297.99331587078524,133.61247979981033,329
10,4acf9957f964a520d7d420e3,The Bell,50 Middlesex St,London,Whitechapel,E1 7EX,Pub,51.515769,-0.075651,0.9769640435931246,1.0,7.2,204.30323222423948,369.0475603644146,357
11,5cdd51073d4791002e65b8bb,The Buxton,42 Osborn St,London,Spitalfields and Banglatown,E1 6TD,Pub,51.517236,-0.070382,0.9814696604712492,1.0,7.7,252.34320023651986,120.69943226784844,260
12,4b3dfea1f964a520b89725e3,The Minories,64-73 Minories,London,The City,EC3N 1JL,Pub,51.510836,-0.074717,0.9939195139338648,1.0,7.2,177.88362437755626,841.612010977729,191
13,4b47ab8cf964a520e23926e3,The Castle,44 Commercial Rd,London,Aldgate,E1 1LN,Pub,51.514881,-0.06905,0.9925007338517666,1.0,7.2,191.09254742877417,395.29976017021795,294
14,4c87ac36821e9eb0ffcd8d89,Goodmans Field,87-91 Mansell St,London,Whitechapel,E1 8AN,Pub,51.511573,-0.072804,0.989169279800206,1.0,6.9,317.49768191954615,735.5514108586775,214
15,4ae19ccbf964a520688621e3,The White Hart,89 Whitechapel High St,London,Whitechapel,E1 7RA,Pub,51.515771,-0.070889,0.9939661076968236,1.0,6.8,93.40391165753846,264.244280506019,280
16,4de90673e4cd15735404e49b,Hennessy's,36 Jewry St,London,The City,EC3N 2ET,Pub,51.513347,-0.076577,0.7964947512126027,1.0,6.1,106.4152394317856,534.3424881602418,255
17,4b5f3343f964a520d8ac29e3,Still & Star,Little Somerset St 1,London,Aldgate,E1 8AH,Pub,51.513682,-0.073992,0.8600346657596414,1.0,6.0,99.57903153802933,526.4716789562425,245
18,4b6c61e3f964a52071352ce3,The Three Lords,27 Minories,London,The City,EC3N 1DE,Pub,51.512432,-0.075303,0.9145516981096912,1.0,6.1,167.7462677976827,665.9096738122937,225
19,4bc35a8f2a89ef3bb7e4f488,The White Swan,21 Alie St,London,Whitechapel,E1 8DA,Pub,51.513533,-0.071336,0.9586480353739848,1.0,6.3,181.3126385422378,510.9488906153847,247
20,4bb0ed77f964a520f96a3ce3,White Horse,31 Houndsditch,London,The City,EC3A 7DB,Pub,51.514994,-0.078413,0.432648715642924,1.0,6.0,240.9896800608763,314.72478207104774,383
21,4b7d83dff964a520b0c32fe3,Duke of Wellington,12 Toynbee St,London,,E1 7NE,Pub,51.51787,-0.074647,0.9451498222447944,1.0,6.3,362.63788939749173,228.1419698334876,344
22,4bfd4dc88992a5930ee5abb0,Kings Stores Whitechapel,14 Widegate St,London,Aldgate,E1 7HP,Pub,51.517993,-0.077869,0.9670395720828808,2.0,6.2,319.4916379468031,146.68587556097435,332
23,4ad85419f964a520091121e3,Old Tea Warehouse London Ec3,6 Creechurch Lane,London,The City,EC3A 5AY,Pub,51.51356,-0.079011,0.9346196318160852,1.0,5.8,255.474565238824,457.81233584500063,402
24,4c7fbe28fb74236a7af2fab9,The Cambridge Express,Kings Cross Station,London,,,Pub,51.513274,-0.076987,0.1060753607522097,1.0,,134.18288501775208,529.3718579296022,276
25,4b5f4402f964a520e3b029e3,East India Arms,67 Fenchurch St,London,The City,EC3M 4BR,Pub,51.512306,-0.079225,0.9042451577431844,1.0,5.9,314.39384447468643,594.0556504243222,265
26,504a2397e4b0a5cade49ae45,The Ship,3 Hart St,London,The City,EC3R 7NB,Pub,51.510809,-0.080045,0.918789400850802,1.0,6.1,244.99214212600708,757.3630480647124,224
27,4bc498a6920eb7139df11e2c,The Peacock,41 Minories,London,The City,EC3N 1DT,Pub,51.511842,-0.075204,0.8463803635245386,1.0,,233.5699333113025,726.6623394291952,229
28,4b6993d6f964a52014a82be3,Princess of Prussia,15 Prescot St,London,Whitechapel,E1 8AZ,Pub,51.511565,-0.070611,0.9234487771466912,1.0,5.9,405.66992751466324,731.6907524422096,220
29,4c28d4e13492a59315f6b728,The Windsor,2 New London St,London,The City,EC3R 7NA,Pub,51.511314,-0.079646,0.9332567642495376,1.0,5.8,250.62088543880446,701.9309155371341,256
30,4bd5e38d7b1876b09c908b86,The Zeppelin Shelter,Leman St,Poplar,,E 1 8,Pub,51.513931,-0.07091,0.3144682952739946,1.0,,147.2993293889774,467.7984171285031,265
31,4db2ac704159ca03c9068626,The Fen,Fenchurch St,London,The City,EC3M 4AJ,Pub,51.511554,-0.079134,0.6696036268585087,1.0,,243.3461355666933,677.882147468052,246
32,4ae8c18df964a52002b221e3,Dirty Dicks,202 Bishopsgate,Bishopsgate,The City,EC2M 4NR,Beer Bar,51.518022,-0.079591,0.9878460169321734,1.0,5.8,202.09518147165605,40.356287015547885,312
33,4b3caee6f964a520278625e3,The Magpie,12 New St,London,The City,EC2M 4TP,Pub,51.517111,-0.079413,0.94037163185336,1.0,5.5,219.83158439506386,74.35953639102189,325
34,4da5e8be4df024212d52623e,The Underwriter,15 St. Mary Axe,London,The City,EC3A 8AH,Pub,51.514599,-0.081125,0.585487906588824,1.0,,354.2549676259108,343.18405105507617,387
35,504b5dafe4b0c450c251b36c,The British Pub,,,,,Pub,51.510511,-0.074732,0.8771811705285131,1.0,,158.7656829785921,873.70814087839,198
36,4ad10ea1f964a52055dc20e3,Stone Horse Paper Cow,128-148 Bishopsgate,London,The City,EC2M 4HX,Arts and Entertainment,51.516439,-0.081104,0.5127713504270318,1.0,,166.33308749973804,148.2428109731569,311
37,4cf8f595466b6ea8b166648b,Scarborough Arms,35 St Mark St,Poplar,Whitechapel,E1 8DJ,Pub,51.512682,-0.07103,0.5091323775399424,1.0,,278.20141216278,606.0415211440719,239
38,4ba628d5f964a520083839e3,The Bar Locks,21 White Church Lane,London,Whitechapel,E1 7QR,Pub,51.515579,-0.069175,0.8756202794693903,1.0,,186.75144502695136,321.76206981549404,290
39,51aa404f498e6d7f20f364f6,Black Horse,40 Leman St,London,Aldgate,E1 8EU,Pub,51.513721,-0.070763,0.9061811285941264,1.0,5.0,172.76865572680097,491.8691081452657,238
