,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police
428,The Tabard,W4 1LW,London Borough of Hounslow,51.495816,-0.254684,1.0,6.9,0.9727645210103596,53,1,3.0,86.40735394572744,403.4654885244248
429,The Sindercombe Social,W12 8QD,London Borough of Hammersmith & Fulham,51.5032,-0.224045,2.0,6.5,0.9619089745082062,290,3,2.0,287.82818769365025,492.53207230775195
430,Famous Three Kings,W14 9NL,London Borough of Hammersmith & Fulham,51.490654,-0.206557,2.0,6.4,0.9805866604586196,173,1,1.0,88.37278201359803,450.5706175736742
431,The Stanhope Arms,SW7 4SS,Royal Borough of Kensington and Chelsea,51.494178,-0.18217,1.0,6.8,0.9950762425794436,134,1,0.0,638.1477932884271,1007.0942300510767
432,McGettigan's Fulham,SW6 1AA,London Borough of Hammersmith & Fulham,51.479888,-0.196053,1.0,6.7,0.9551437550925388,164,1,1.0,94.94234378971461,273.99174743395366
433,The Spencer Arms,SW15 1HJ,London Borough of Wandsworth,51.468255,-0.228088,1.0,6.8,0.9663042719124664,21,0,0.0,1335.9092506557058,1128.5495957550372
434,The Bull,W12 7GB,London Borough of Hammersmith & Fulham,51.506427,-0.219891,2.0,6.5,0.9716284483762077,271,3,0.0,201.95622679012553,650.2384189771814
435,The Salutation,W6 0QU,London Borough of Hammersmith & Fulham,51.49281,-0.233179,1.0,6.1,0.962416482365266,141,1,0.0,227.24156542508422,656.7227675825706
436,The Hansom Cab,W8 6EG,Royal Borough of Kensington and Chelsea,51.496289,-0.197188,1.0,6.5,0.901559771854266,168,0,1.0,561.7660594249538,125.28837807095782
437,The Bolton,SW5 9BQ,Royal Borough of Kensington and Chelsea,51.489676,-0.190486,1.0,6.6,0.9835548830171108,167,2,1.0,313.29667908714856,382.93356495358444
438,The Plough & Harrow,W6 0QU,London Borough of Hammersmith & Fulham,51.492787,-0.231361,1.0,6.0,0.9850331742521244,200,2,0.0,332.35748161943803,538.9995652848505
439,Prince of Teck,SW5 9RQ,Royal Borough of Kensington and Chelsea,51.492869,-0.193951,2.0,6.5,0.9584984285880572,202,1,1.0,149.92334180562418,300.0573605836409
440,Packhorse & Talbot,W4 2DT,London Borough of Hounslow,51.492547,-0.254768,1.0,6.4,0.9562937958328483,65,1,3.0,292.79420417505196,153.3167857967246
