,fsq_id,name,address,locality,neighborhood,postcode,category,latitude,longitude
313,14cd1ca4c68f44602a55966f,Metropolitan Police - Waltham House,11 Kirkdale Rd,London,Leytonstone,E11 1HP,Police Station,51.568534,0.009306
314,22abfdbe7ceb41b185462e6f,London Probation Area,Olympic House 28-42 Clements Rd,Ilford,Redbridge,IG1 1BA,Police Station,51.557752,0.071699
316,4bbb2e0c935e952142d72890,Twickenham Police Station,41 London Rd,Twickenham,Twickenham,TW1 3SY,Police Station,51.447936,-0.329145
318,51c80db6498ed5c61aadfac8,Richmond Police Station,18-20 Kew Rd,Richmond upon Thames,,TW9 2NA,Police Station,51.463995,-0.300506
319,9938f445fc27436114cd9b23,Metropolitan Police Service,18 Ashburnham Rd,Richmond,Ham,TW10 7NF,Police Station,51.437668,-0.315115
320,eceb93400e8f42c58f2d9dde,Metropolitan Police Cafe Nero,5 London Rd,Twickenham,,TW1 3ST,Police Station,51.446833,-0.328438
321,08d0a2861dbf4d70c849530a,Metropolitan Police,17 Heath Rd,Twickenham,,TW1 4AW,Police Station,51.445197,-0.330889
322,992e35a034cc441f3b8dceb1,Richmond Police Station,8 Red Lion St,Richmond,,,Police Station,51.459455,-0.304803
323,085714afda884255baa3befc,Royal Parks Constabulary,"The Police Office Holly Lodge, Richmond Park",Richmond,Petersham,TW10 5HS,Police Station,51.451626,-0.282806
324,d80a44b01acd40da245eeed8,Richmond Police Station - Sovereign Gate,"Sovereign Gate, 18-20 Kew Rd",Richmond,,TW9 2NA,Police Station,51.464097,-0.300627
325,8c905cfd576042179bd46a35,British Transport Police,Station Buildings,Richmond,,TW9 2NA,Police Station,51.46434,-0.301213
326,9d94278b383c4004c22caea7,Surrey Police - Richmond Police Station,18-20 Kew Rd,Richmond,Richmond,TW9 2NA,Police Station,51.464438,-0.301428
374,4c3f5a873735be9a044315a4,Sutton Police Station,6 Carshalton Rd,Sutton,Sutton,SM1 4RF,Police Station,51.361273,-0.190568
375,ccd0222b53db463181a2d842,The Probation Service,103 Westmead Rd,Sutton,Benhilton,SM1 4JD,Police Station,51.366186,-0.180659
376,a0d0347fd93846d70877265e,Crosspoint House,28 Stafford Rd,Wallington,,SM6 9AA,Police Station,51.358373,-0.146574
377,dc862e3054e24a784b914a07,Wallington Police Station,84 Stafford Rd,Wallington,Wallington,SM6 9AY,Police Station,51.358828,-0.143834
378,3d1e162e533a4ceacf9320bb,Metropolitan Police,Oldfields Rd,Sutton,,SM1 2NB,Police Station,51.37265,-0.206529
387,4ee378fdf790897ecf703288,Rotherhithe Police Station,,,,,Police Station,51.496151,-0.050521
399,8898cb2bb4a94322f2abfd41,Police,99 Lower Rd,London,Surrey Quays,SE16 2XQ,Police Station,51.496048,-0.051591
400,ad94e4a9a626418892998ca8,Police Rotherhithe Metropolitan Police Stations A-Z,Lower Rd,London,,SE16 2XQ,Police Station,51.495714,-0.051794
407,4de26f7f45dd180ae545d1a2,Leyton Custody Centre,Boreham Close,Walthamstow,,,Police Station,51.569047,-0.006968
408,4e5fc1681f6ed957dcf385a1,Walthamstow Police Station,191-193 High St,Walthamstow,Higham Hill,E17 5JQ,Police Station,51.589818,-0.025717
410,c17e51fb52e14bb478151f8e,Leyton Police Station,215 Francis Rd,London,Leyton,E10 6NL,Police Station,51.565127,-0.007622
411,e7f6d4343dbb40bbf6579cc6,Lea Bridge Road,593 Lea Bridge Rd,London,,E10 6AJ,Police Station,51.576893,-0.011522
412,c2d7642d776d4bf536dc1b27,Metropolitan Police Service,191-193 High St,London,Walthamstow,E17 7BX,Police Station,51.583888,-0.024206
415,4570db0ddcd94fa88ed6fef7,Metropolitan Police Service,360 Forest Rd,London,Walthamstow,E17 5JQ,Police Station,51.589818,-0.025717
416,4c35938a3896e21e9467ed90,Wandsworth Police Station,146 Wandsworth High St,London,,SW18 4JJ,Police Station,51.457308,-0.198476
421,bd7febdafd5644d4173f213a,Probation Service,79 East Hill,London,Wandsworth,SW18 2QE,Police Station,51.457583,-0.184585
422,438c5357c45c41f2b1a247b1,Putney Sector Office Police Station,230-232 Putney Bridge Rd,London,,SW15 2PD,Police Station,51.462699,-0.209304
423,f83b931981744aefb447a3b6,Jubilee House,230-232 Putney Bridge Rd,London,,SW15 2PD,Police Station,51.462699,-0.209304
424,cdf35279387f4e0f76ffaa32,Metropolitan Police Service,230-232 Putney Bridge Rd,London,Putney,SW15 2PD,Police Station,51.464196,-0.213156
441,4c49da239e3e2d7fe77c5749,Marylebone Police Station,1-9 Seymour St,City of Westminster,West Central,W1H 7BA,Police Station,51.514827,-0.15709
469,33f73eab43aa4f8eec3924fc,Clapham Police Station,51 Union Grove,London,Nine Elms,SW8 2QJ,Police Station,51.471461,-0.133163
